timestamp,device_localId,appName,prevRow
43:10.5,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:09.3,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:08.8,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:07.4,s:881DE860-5165-4341-89DA-2B81EBF89EA4,MSPaint,Remix3D
43:07.2,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:06.3,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:06.3,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:05.9,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:05.4,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:05.4,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:05.2,s:E54A2162-6797-4790-AC0F-6C6F1E987C9D,MSPaint,Remix3D
43:05.2,s:0AE5DA49-A911-4666-AA9E-A5F06ABEE9D1,MSPaint,Remix3D
43:04.8,s:2FD04A19-A2D7-40D2-9F9E-F10A61BC4D14,MSPaint,Remix3D
43:04.7,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:04.1,s:2CE10CF5-5B38-440E-92AF-4465254FBD43,MSPaint,Remix3D
43:04.1,s:2CE10CF5-5B38-440E-92AF-4465254FBD43,MSPaint,Remix3D
43:03.6,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:03.5,s:2CE10CF5-5B38-440E-92AF-4465254FBD43,MSPaint,Remix3D
43:02.7,s:C24C86F3-0371-4CBB-8DC5-857FBEB318AE,MSPaint,Remix3D
43:01.8,s:2CE10CF5-5B38-440E-92AF-4465254FBD43,MSPaint,Remix3D
43:01.5,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:00.5,s:C24C86F3-0371-4CBB-8DC5-857FBEB318AE,MSPaint,Remix3D
42:59.4,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
42:56.2,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
42:54.6,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
42:53.9,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
